n_keeper,run,AUROC
0,0,0.5
0,1,0.5
0,2,0.5
1,0,0.8978476113837257
1,1,0.8953878571932256
1,2,0.8905886403325024
2,0,0.9151944782044209
2,1,0.9217731799685583
2,2,0.9200310269162647
3,0,0.9364072656078247
3,1,0.9372493062497668
3,2,0.9367474002513678
4,0,0.9311268826659918
4,1,0.9427578282817808
4,2,0.9420609670608634
5,0,0.9516096249808156
5,1,0.9517340644845509
5,2,0.957951891687856
6,0,0.9581053670757961
6,1,0.9497015525902083
6,2,0.9572799183676854
7,0,0.958499425504291
7,1,0.9584620936531705
7,2,0.9566867567332141
8,0,0.9597687084423907
8,1,0.9620666912780351
8,2,0.9615191574616
9,0,0.9609508837278757
9,1,0.9596442689386555
9,2,0.9661275670832625
10,0,0.9621455029637341
10,1,0.9624773416403616
10,2,0.9653975219946822
11,0,0.9658372082412134
11,1,0.9631576109274476
11,2,0.9688320522977754
12,0,0.9655095175480439
12,1,0.9679111999701345
12,2,0.9664594057598899
13,0,0.9666336210651193
13,1,0.9668825000725896
13,2,0.9715075016280835
14,0,0.9691265591232823
14,1,0.9694169179653311
14,2,0.9701511110373692
15,0,0.9684462898361961
15,1,0.9684338458858226
15,2,0.9705949452673583
16,0,0.9697819405096213
16,1,0.9682347426798461
16,2,0.9701262231366221
17,0,0.972623309178243
17,1,0.9722790265512421
17,2,0.9719928156926511
18,0,0.9707981964567926
18,1,0.9711217391665042
18,2,0.9702548106238152
19,0,0.9716568290325658
19,1,0.9716568290325658
19,2,0.9716568290325658
