event_file,fraction_of_yes,pred,ChannelLocation
ALB0004_6,0,0.44535232,frontal
ALB0004_4,0,0.52864486,frontal
ALB0004_1,1,0.6478794,frontal
ALB0004_0,1,0.7903934,frontal
ALB0004_7,0,0.46700576,frontal
ALB0004_3,0,0.6725046,frontal
ALB0004_5,1,0.72975683,frontal
ALB0004_2,1,0.82797426,frontal
ALB0012_1,0,0.06965142,frontal
ALB0012_0,1,0.20768462,frontal
BEA0003_3,0,0.023436157,frontal
BEA0003_25,1,0.066010274,frontal
BEA0003_35,1,0.1647843,frontal
BEA0003_18,1,0.035837017,frontal
BEA0003_41,1,0.13213079,frontal
BEA0003_43,0,0.15265977,frontal
BEA0003_1,1,0.034226958,frontal
BEA0003_57,1,0.036908966,frontal
BEA0003_28,1,0.053546138,frontal
BEA0003_20,1,0.25016636,frontal
BEA0003_49,1,0.27254257,frontal
BEA0003_42,0,0.17031671,frontal
BEA0003_32,0,0.0048918007,frontal
BEA0003_47,1,0.08506727,frontal
BEA0003_63,1,0.05590093,frontal
BEA0003_23,1,0.2751922,frontal
BEA0003_30,1,0.01849732,frontal
BEA0003_19,0,0.030247677,frontal
BEA0003_37,0,0.40534005,frontal
BEA0003_7,1,0.26583284,frontal
BEA0003_44,1,0.07295,frontal
BEA0003_14,1,0.092942715,frontal
BEA0003_67,0,0.002110474,frontal
BEA0003_6,0,0.1574148,frontal
BEA0003_45,0,0.062790684,frontal
BEA0003_34,1,0.08474674,frontal
BEA0003_66,0,0.06847539,frontal
BEA0003_10,0,0.001487992,frontal
BEA0003_16,0,0.014407388,frontal
BEA0003_65,1,0.23849414,frontal
BEA0003_53,1,0.43923157,frontal
BEA0003_70,0,0.14102718,frontal
BEA0003_58,0,0.056453876,frontal
BEA0003_52,1,0.025200779,frontal
BEA0003_5,1,0.05021511,frontal
BEA0003_40,1,0.38818276,frontal
BEA0003_54,0,0.012718713,frontal
BEA0003_27,0,0.18323016,frontal
BEA0003_71,0,0.18461142,frontal
BEA0003_26,1,0.027199376,frontal
BEA0003_38,1,0.09721093,frontal
BEA0003_22,0,0.02056285,frontal
BEA0003_36,1,0.18198913,frontal
BEA0003_24,1,0.19132942,frontal
BEA0003_61,0,0.03137745,frontal
BEA0003_50,0,0.15831386,frontal
BEA0003_68,1,0.0081469,frontal
BEA0003_33,1,0.18900609,frontal
BEA0003_59,1,0.06007666,frontal
BEA0003_64,1,0.10438442,frontal
BEA0003_13,1,0.11528974,frontal
BEA0003_56,0,0.026712481,frontal
BEA0003_11,0,0.0193858,frontal
BEA0003_17,1,0.030452803,frontal
BEA0003_60,0,0.041811865,frontal
BEA0003_2,0,0.009182464,frontal
BEA0003_46,1,0.16065514,frontal
BEA0003_9,0,0.09860281,frontal
BEA0003_4,0,0.021154847,frontal
BEA0003_55,0,0.037659064,frontal
BEA0003_0,0,0.017965503,frontal
BEA0003_62,0,0.20747705,frontal
BEA0003_8,0,0.004740916,frontal
BEA0003_39,0,0.008574193,frontal
BEA0003_29,1,0.060291942,frontal
BEA0003_51,1,0.043119673,frontal
BEA0003_12,0,0.0034065032,frontal
