event_file,fraction_of_yes,pred,ChannelLocation
Bonobo00215_0_2074,0.9166666666666666,0.720898,frontal
Bonobo00340_0_158,0.8888888888888888,0.64121264,frontal
Bonobo00340_0_1710,1.0,0.8477587,frontal
Bonobo00340_0_621,1.0,0.86679375,frontal
Bonobo00340_0_76,1.0,0.73552775,frontal
Bonobo00499_0_134276,0.875,0.52788085,frontal
Bonobo00499_0_215374,0.875,0.42123887,frontal
Bonobo00607_0_1290,1.0,0.30169797,frontal
Bonobo00607_0_2292,0.8888888888888888,0.51008016,frontal
Bonobo00607_0_2465,0.9166666666666666,0.6360248,frontal
Bonobo00799_1_133580,0.875,0.7859278,frontal
Bonobo00799_1_156185,0.875,0.80620176,frontal
Bonobo00799_1_162273,0.875,0.6660087,frontal
Bonobo00799_1_23254,0.875,0.5210101,frontal
Bonobo00799_1_43772,0.875,0.8372735,frontal
Bonobo00986_0_110790,1.0,0.914647,frontal
Bonobo00986_0_120792,1.0,0.868228,frontal
Bonobo00986_0_120794,1.0,0.85132766,frontal
Bonobo00986_0_130154,1.0,0.9286123,frontal
Bonobo00986_0_130189,1.0,0.9556705,frontal
Bonobo00986_0_130222,1.0,0.94914126,frontal
Bonobo00986_0_130223,1.0,0.943794,frontal
Bonobo00986_0_130237,1.0,0.9445707,frontal
Bonobo00986_0_136305,1.0,0.9344371,frontal
Bonobo00986_0_152542,1.0,0.92355716,frontal
Bonobo00986_0_152747,1.0,0.8894258,frontal
Bonobo00986_0_163733,1.0,0.9299796,frontal
Bonobo00986_0_166906,1.0,0.8978208,frontal
Bonobo00986_0_169692,1.0,0.8805917,frontal
Bonobo00986_0_169697,1.0,0.8676605,frontal
Bonobo00986_0_176728,1.0,0.89424413,frontal
Bonobo00986_0_187228,1.0,0.9091034,frontal
Bonobo00986_0_187230,0.875,0.91679627,frontal
Bonobo00986_0_210979,1.0,0.95109946,frontal
Bonobo00986_0_211089,1.0,0.9512425,frontal
Bonobo00986_0_40249,1.0,0.91033274,frontal
Bonobo00986_0_43985,1.0,0.9275438,frontal
Bonobo00986_0_54183,0.875,0.90319115,frontal
Bonobo00986_0_54186,1.0,0.917992,frontal
Bonobo00986_0_54187,1.0,0.92339516,frontal
Bonobo00986_0_54190,1.0,0.9076534,frontal
Bonobo00986_0_68217,1.0,0.9193143,frontal
Bonobo00986_0_68256,1.0,0.84248567,frontal
Bonobo00986_0_87683,1.0,0.90198416,frontal
Bonobo00986_1_117285,1.0,0.71362287,frontal
Bonobo00986_1_117378,1.0,0.8092906,frontal
Bonobo00986_1_117467,1.0,0.89491457,frontal
Bonobo00986_1_117616,0.875,0.87946373,frontal
Bonobo00986_1_117746,1.0,0.892209,frontal
Bonobo00986_1_117748,1.0,0.8944963,frontal
Bonobo00986_1_125348,1.0,0.81961054,frontal
Bonobo00986_1_125433,1.0,0.8363049,frontal
Bonobo00986_1_125570,1.0,0.7908642,frontal
Bonobo00986_1_125759,0.875,0.9020792,frontal
Bonobo01095_1_116347,0.875,0.82931995,frontal
Bonobo01095_1_154334,0.875,0.8947487,frontal
Bonobo01229_1_20087,1.0,0.702044,frontal
Bonobo01229_1_75526,0.875,0.73467016,frontal
Bonobo01229_1_90970,0.875,0.7902909,frontal
Bonobo01351_1_24847,0.875,0.13758416,frontal
Bonobo01351_1_28656,0.875,0.26023695,frontal
Bonobo01351_1_34418,0.875,0.35946602,frontal
Bonobo01351_1_74178,0.875,0.1313449,frontal
Bonobo01510_0_195393,1.0,0.80033284,frontal
Bonobo01529_1_138522,0.875,0.80716985,frontal
Bonobo01529_1_177357,1.0,0.5797006,frontal
Bonobo01529_1_223340,0.875,0.7728087,frontal
Bonobo01529_1_40601,0.875,0.5796503,frontal
Bonobo01529_1_4135,1.0,0.7887396,frontal
Bonobo01529_1_41731,1.0,0.63391906,frontal
Bonobo01529_1_48198,1.0,0.8210157,frontal
Bonobo01529_1_6481,0.875,0.7608901,frontal
Bonobo01529_2_112805,1.0,0.78034455,frontal
Bonobo01529_2_113881,0.875,0.59486425,frontal
