event_file,label,pred,ChannelLocation
ALB0004_6,0,0.23740266,frontal
ALB0004_4,0,0.1410746,frontal
ALB0004_1,1,0.3407309,frontal
ALB0004_0,1,0.6138908,frontal
ALB0004_7,0,0.278465,frontal
ALB0004_3,0,0.25996158,frontal
ALB0004_5,1,0.6521352,frontal
ALB0004_2,1,0.75205916,frontal
ALB0012_1,0,0.06968872,frontal
ALB0012_0,1,0.12834203,frontal
BEA0003_3,0,0.10195102,frontal
BEA0003_25,1,0.06705936,frontal
BEA0003_35,1,0.044058055,frontal
BEA0003_18,1,0.04258924,frontal
BEA0003_41,1,0.1683996,frontal
BEA0003_43,0,0.07878758,frontal
BEA0003_1,1,0.14377609,frontal
BEA0003_57,1,0.024334572,frontal
BEA0003_28,1,0.018288834,frontal
BEA0003_20,1,0.2500215,frontal
BEA0003_49,1,0.28501344,frontal
BEA0003_42,0,0.2849142,frontal
BEA0003_32,0,0.005998743,frontal
BEA0003_47,1,0.39846694,frontal
BEA0003_63,1,0.16417757,frontal
BEA0003_23,1,0.04969,frontal
BEA0003_30,1,0.021562284,frontal
BEA0003_19,0,0.048873182,frontal
BEA0003_37,0,0.357402,frontal
BEA0003_7,1,0.20199974,frontal
BEA0003_44,1,0.07831417,frontal
BEA0003_14,1,0.083819576,frontal
BEA0003_67,0,0.08691906,frontal
BEA0003_6,0,0.38274974,frontal
BEA0003_45,0,0.06532782,frontal
BEA0003_34,1,0.045701392,frontal
BEA0003_66,0,0.11639991,frontal
BEA0003_10,0,0.010762498,frontal
BEA0003_16,0,0.0349501,frontal
BEA0003_65,1,0.18817215,frontal
BEA0003_53,1,0.3374497,frontal
BEA0003_70,0,0.4898451,frontal
BEA0003_58,0,0.06207846,frontal
BEA0003_52,1,0.018547863,frontal
BEA0003_5,1,0.031702586,frontal
BEA0003_40,1,0.45460984,frontal
BEA0003_54,0,0.024586355,frontal
BEA0003_27,0,0.07114154,frontal
BEA0003_71,0,0.024285473,frontal
BEA0003_26,1,0.044780657,frontal
BEA0003_38,1,0.20163237,frontal
BEA0003_22,0,0.08189567,frontal
BEA0003_36,1,0.10784576,frontal
BEA0003_24,1,0.26869714,frontal
BEA0003_61,0,0.026377343,frontal
BEA0003_50,0,0.12685974,frontal
BEA0003_68,1,0.022339612,frontal
BEA0003_33,1,0.12084777,frontal
BEA0003_59,1,0.016666243,frontal
BEA0003_64,1,0.009590768,frontal
BEA0003_13,1,0.06963907,frontal
BEA0003_56,0,0.048532233,frontal
BEA0003_11,0,0.015345853,frontal
BEA0003_17,1,0.008229253,frontal
BEA0003_60,0,0.00835685,frontal
BEA0003_2,0,0.0036563517,frontal
BEA0003_46,1,0.05317703,frontal
BEA0003_9,0,0.004113934,frontal
BEA0003_4,0,0.0027285458,frontal
BEA0003_55,0,0.0043018525,frontal
BEA0003_0,0,0.020432,frontal
BEA0003_62,0,0.050991397,frontal
BEA0003_8,0,0.0057335943,frontal
BEA0003_39,0,0.0042783283,frontal
BEA0003_29,1,0.042673454,frontal
BEA0003_51,1,0.026578257,frontal
BEA0003_12,0,0.0010513153,frontal
BEA0003_21,0,0.012915791,frontal
BEA0003_31,0,0.004761821,frontal
BEA0003_15,1,0.074953325,frontal
BEA0003_48,0,0.01284056,frontal
BEA0003_69,0,0.022302235,frontal
COL0009_5,1,0.03569642,frontal
COL0009_2,0,0.044733524,frontal
COL0009_0,1,0.097463064,frontal
COL0009_3,0,0.09631691,frontal
COL0009_1,1,0.07852748,frontal
COL0009_4,0,0.56475925,frontal
MAYO0009_3,1,0.13705912,frontal
MAYO0009_1,0,0.18233179,frontal
MAYO0009_2,0,0.045446876,frontal
MAYO0009_0,1,0.4778451,frontal
MAYO0010_1,1,0.3496239,frontal
MAYO0010_3,0,0.45984125,frontal
MAYO0010_6,0,0.24971575,frontal
MAYO0010_0,1,0.20993912,frontal
MAYO0010_7,0,0.2678174,frontal
MAYO0010_8,0,0.5194445,frontal
MAYO0010_9,1,0.23873861,frontal
MAYO0010_4,0,0.2556897,frontal
MAYO0010_2,1,0.25068992,frontal
MAYO0010_5,1,0.6835797,frontal
MAYO0018_4,0,0.02752851,frontal
MAYO0018_57,0,0.063115776,frontal
MAYO0018_44,1,0.90310186,frontal
MAYO0018_128,1,0.9382357,frontal
MAYO0018_146,1,0.88126266,frontal
MAYO0018_151,1,0.69636565,frontal
MAYO0018_144,1,0.64888364,frontal
MAYO0018_124,1,0.4721778,frontal
MAYO0018_135,1,0.842687,frontal
MAYO0018_147,1,0.505308,frontal
MAYO0018_16,1,0.36296076,frontal
MAYO0018_156,1,0.93693745,frontal
MAYO0018_11,1,0.90033734,frontal
MAYO0018_49,1,0.8144249,frontal
MAYO0018_18,1,0.81778723,frontal
MAYO0018_126,1,0.8630972,frontal
MAYO0018_82,1,0.80245304,frontal
MAYO0018_133,0,0.0033017364,frontal
MAYO0018_157,0,0.043797087,frontal
MAYO0018_121,0,0.17796543,frontal
MAYO0018_13,0,0.09013761,frontal
MAYO0018_77,0,0.032285046,frontal
MAYO0018_56,0,0.038721357,frontal
MAYO0018_98,0,0.1376452,frontal
MAYO0018_1,0,0.017683616,frontal
MAYO0018_163,1,0.14680171,frontal
MAYO0018_155,0,0.20132038,frontal
MAYO0018_43,0,0.05129455,frontal
MAYO0018_75,0,0.11957174,frontal
MAYO0018_125,0,0.04828295,frontal
MAYO0018_152,0,0.11910501,frontal
MAYO0018_141,0,0.014121849,frontal
MAYO0018_39,0,0.05467891,frontal
MAYO0018_46,1,0.92393935,frontal
MAYO0018_153,1,0.92351925,frontal
MAYO0018_28,1,0.88007534,frontal
MAYO0018_36,1,0.9146739,frontal
MAYO0018_21,1,0.90695304,frontal
MAYO0018_91,1,0.85246366,frontal
MAYO0018_60,1,0.65527594,frontal
MAYO0018_48,1,0.8960302,frontal
MAYO0018_38,1,0.8990938,frontal
MAYO0018_33,1,0.8846807,frontal
MAYO0018_66,1,0.6749361,frontal
MAYO0018_52,0,0.016071431,frontal
MAYO0018_70,0,0.114609346,frontal
MAYO0018_94,0,0.2812271,frontal
MAYO0018_103,0,0.20315756,frontal
MAYO0018_88,0,0.021476552,frontal
MAYO0018_9,0,0.20835166,frontal
MAYO0018_117,1,0.91466504,frontal
MAYO0018_14,1,0.9168001,frontal
MAYO0018_143,1,0.9159091,frontal
MAYO0018_55,1,0.93848985,frontal
MAYO0018_79,1,0.9292792,frontal
MAYO0018_130,1,0.8431119,frontal
MAYO0018_108,1,0.88829947,frontal
MAYO0018_114,1,0.9103698,frontal
MAYO0018_0,1,0.9372407,frontal
MAYO0018_134,0,0.011319639,frontal
MAYO0018_68,0,0.25517285,frontal
MAYO0018_76,0,0.16953756,frontal
MAYO0018_45,1,0.13532554,frontal
MAYO0018_63,0,0.039554987,frontal
MAYO0018_167,0,0.0025339152,frontal
MAYO0018_84,0,0.0008372299,frontal
MAYO0018_96,0,0.08813628,frontal
MAYO0018_112,0,0.11669331,frontal
MAYO0018_140,0,0.10949466,frontal
MAYO0018_136,0,0.031705007,frontal
MAYO0018_166,1,0.78567976,frontal
MAYO0018_129,1,0.8981782,frontal
MAYO0018_5,1,0.9027313,frontal
MAYO0018_41,1,0.89804673,frontal
MAYO0018_149,1,0.96498334,frontal
MAYO0018_148,1,0.9432152,frontal
MAYO0018_109,1,0.94334155,frontal
MAYO0018_34,1,0.877641,frontal
MAYO0018_15,1,0.77294767,frontal
MAYO0018_19,0,0.074098475,frontal
MAYO0018_47,0,0.110537924,frontal
MAYO0018_101,0,0.11339772,frontal
MAYO0018_115,0,0.38218027,frontal
MAYO0018_138,0,0.101703025,frontal
MAYO0018_150,0,0.3790422,frontal
MAYO0018_102,1,0.4650215,frontal
MAYO0018_32,0,0.044141587,frontal
MAYO0018_24,0,0.3447843,frontal
MAYO0018_71,0,0.019014707,frontal
