event_file,label,pred,SpikeLocation,ChannelLocation
ALB0004_6,0,0.27111456,,frontal
ALB0004_4,0,0.23438106,,frontal
ALB0004_1,1,0.6615797,temporal,frontal
ALB0004_0,1,0.71812993,,frontal
ALB0004_7,0,0.49931043,,frontal
ALB0004_3,0,0.6451155,,frontal
ALB0004_5,1,0.7488297,,frontal
ALB0004_2,1,0.7557151,,frontal
ALB0012_1,0,0.058669202,,frontal
ALB0012_0,1,0.14859228,,frontal
BEA0003_3,0,0.026835158,,frontal
BEA0003_25,1,0.15906002,,frontal
BEA0003_35,1,0.110117435,temporal,frontal
BEA0003_18,1,0.04929956,temporal,frontal
BEA0003_41,1,0.15477315,temporal,frontal
BEA0003_43,0,0.14504457,,frontal
BEA0003_1,1,0.1685344,temporal,frontal
BEA0003_57,1,0.059875615,temporal,frontal
BEA0003_28,1,0.031326275,,frontal
BEA0003_20,1,0.2843919,temporal,frontal
BEA0003_49,1,0.22441067,,frontal
BEA0003_42,0,0.27734044,,frontal
BEA0003_32,0,0.009205659,,frontal
BEA0003_47,1,0.35796988,,frontal
BEA0003_63,1,0.12320644,temporal,frontal
BEA0003_23,1,0.075971395,,frontal
BEA0003_30,1,0.0136820115,,frontal
BEA0003_19,0,0.15983912,,frontal
BEA0003_37,0,0.32104853,,frontal
BEA0003_7,1,0.22689416,temporal,frontal
BEA0003_44,1,0.14736712,temporal,frontal
BEA0003_14,1,0.07004989,temporal,frontal
BEA0003_67,0,0.09376032,,frontal
BEA0003_6,0,0.6433325,,frontal
BEA0003_45,0,0.100917384,,frontal
BEA0003_34,1,0.1421882,,frontal
BEA0003_66,0,0.11798791,,frontal
BEA0003_10,0,0.013708767,,frontal
BEA0003_16,0,0.038259,,frontal
BEA0003_65,1,0.2564218,,frontal
BEA0003_53,1,0.34486234,temporal,frontal
BEA0003_70,0,0.50385976,,frontal
BEA0003_58,0,0.07816794,,frontal
BEA0003_52,1,0.019551251,,frontal
BEA0003_5,1,0.038848016,,frontal
BEA0003_40,1,0.4876118,temporal,frontal
BEA0003_54,0,0.042250957,,frontal
BEA0003_27,0,0.11370538,,frontal
BEA0003_71,0,0.015750159,,frontal
BEA0003_26,1,0.06604513,,frontal
BEA0003_38,1,0.17882958,,frontal
BEA0003_22,0,0.07847687,,frontal
BEA0003_36,1,0.14664666,temporal,frontal
BEA0003_24,1,0.26328203,,frontal
BEA0003_61,0,0.051711775,,frontal
BEA0003_50,0,0.14042142,,frontal
BEA0003_68,1,0.0191244,frontal,frontal
BEA0003_33,1,0.06788325,,frontal
BEA0003_59,1,0.014291872,,frontal
BEA0003_64,1,0.03729116,,frontal
BEA0003_13,1,0.089659765,frontal,frontal
BEA0003_56,0,0.16032276,,frontal
BEA0003_11,0,0.053080764,,frontal
BEA0003_17,1,0.020687228,temporal,frontal
BEA0003_60,0,0.017973749,,frontal
BEA0003_2,0,0.0073190634,,frontal
BEA0003_46,1,0.15295923,temporal,frontal
BEA0003_9,0,0.024129732,,frontal
BEA0003_4,0,0.012870888,,frontal
BEA0003_55,0,0.018949706,,frontal
BEA0003_0,0,0.0895418,,frontal
BEA0003_62,0,0.06694871,,frontal
BEA0003_8,0,0.024930745,,frontal
BEA0003_39,0,0.0006044852,,frontal
BEA0003_29,1,0.07628609,temporal,frontal
BEA0003_51,1,0.03754789,,frontal
BEA0003_12,0,0.0025546385,,frontal
BEA0003_21,0,0.04779033,,frontal
BEA0003_31,0,0.00254214,,frontal
BEA0003_15,1,0.1858442,,frontal
