event_file,fraction_of_yes,pred,ChannelLocation
Bonobo00215_0_2074,0.9166666666666666,0.720898,two_frontal
Bonobo00340_0_158,0.8888888888888888,0.64121264,two_frontal
Bonobo00340_0_1710,1.0,0.8477587,two_frontal
Bonobo00340_0_621,1.0,0.86679375,two_frontal
Bonobo00340_0_76,1.0,0.73552775,two_frontal
Bonobo00499_0_134276,0.875,0.52788085,two_frontal
Bonobo00499_0_215374,0.875,0.42123887,two_frontal
Bonobo00607_0_1290,1.0,0.30169797,two_frontal
Bonobo00607_0_2292,0.8888888888888888,0.51008016,two_frontal
Bonobo00607_0_2465,0.9166666666666666,0.6360248,two_frontal
Bonobo00799_1_133580,0.875,0.7859278,two_frontal
Bonobo00799_1_156185,0.875,0.80620176,two_frontal
Bonobo00799_1_162273,0.875,0.6660087,two_frontal
Bonobo00799_1_23254,0.875,0.5210101,two_frontal
Bonobo00799_1_43772,0.875,0.8372735,two_frontal
Bonobo00986_0_110790,1.0,0.914647,two_frontal
Bonobo00986_0_120792,1.0,0.868228,two_frontal
Bonobo00986_0_120794,1.0,0.85132766,two_frontal
Bonobo00986_0_130154,1.0,0.9286123,two_frontal
Bonobo00986_0_130189,1.0,0.9556705,two_frontal
Bonobo00986_0_130222,1.0,0.94914126,two_frontal
Bonobo00986_0_130223,1.0,0.943794,two_frontal
Bonobo00986_0_130237,1.0,0.9445707,two_frontal
Bonobo00986_0_136305,1.0,0.9344371,two_frontal
Bonobo00986_0_152542,1.0,0.92355716,two_frontal
Bonobo00986_0_152747,1.0,0.8894258,two_frontal
Bonobo00986_0_163733,1.0,0.9299796,two_frontal
Bonobo00986_0_166906,1.0,0.8978208,two_frontal
Bonobo00986_0_169692,1.0,0.8805917,two_frontal
Bonobo00986_0_169697,1.0,0.8676605,two_frontal
Bonobo00986_0_176728,1.0,0.89424413,two_frontal
Bonobo00986_0_187228,1.0,0.9091034,two_frontal
Bonobo00986_0_187230,0.875,0.91679627,two_frontal
Bonobo00986_0_210979,1.0,0.95109946,two_frontal
Bonobo00986_0_211089,1.0,0.9512425,two_frontal
Bonobo00986_0_40249,1.0,0.91033274,two_frontal
Bonobo00986_0_43985,1.0,0.9275438,two_frontal
Bonobo00986_0_54183,0.875,0.90319115,two_frontal
Bonobo00986_0_54186,1.0,0.917992,two_frontal
Bonobo00986_0_54187,1.0,0.92339516,two_frontal
Bonobo00986_0_54190,1.0,0.9076534,two_frontal
Bonobo00986_0_68217,1.0,0.9193143,two_frontal
Bonobo00986_0_68256,1.0,0.84248567,two_frontal
Bonobo00986_0_87683,1.0,0.90198416,two_frontal
Bonobo00986_1_117285,1.0,0.71362287,two_frontal
Bonobo00986_1_117378,1.0,0.8092906,two_frontal
Bonobo00986_1_117467,1.0,0.89491457,two_frontal
Bonobo00986_1_117616,0.875,0.87946373,two_frontal
Bonobo00986_1_117746,1.0,0.892209,two_frontal
Bonobo00986_1_117748,1.0,0.8944963,two_frontal
Bonobo00986_1_125348,1.0,0.81961054,two_frontal
Bonobo00986_1_125433,1.0,0.8363049,two_frontal
Bonobo00986_1_125570,1.0,0.7908642,two_frontal
Bonobo00986_1_125759,0.875,0.9020792,two_frontal
Bonobo01095_1_116347,0.875,0.82931995,two_frontal
Bonobo01095_1_154334,0.875,0.8947487,two_frontal
Bonobo01229_1_20087,1.0,0.702044,two_frontal
Bonobo01229_1_75526,0.875,0.73467016,two_frontal
Bonobo01229_1_90970,0.875,0.7902909,two_frontal
Bonobo01351_1_24847,0.875,0.13758416,two_frontal
Bonobo01351_1_28656,0.875,0.26023695,two_frontal
Bonobo01351_1_34418,0.875,0.35946602,two_frontal
Bonobo01351_1_74178,0.875,0.1313449,two_frontal
Bonobo01510_0_195393,1.0,0.80033284,two_frontal
Bonobo01529_1_138522,0.875,0.80716985,two_frontal
Bonobo01529_1_177357,1.0,0.5797006,two_frontal
Bonobo01529_1_223340,0.875,0.7728087,two_frontal
Bonobo01529_1_40601,0.875,0.5796503,two_frontal
Bonobo01529_1_4135,1.0,0.7887396,two_frontal
Bonobo01529_1_41731,1.0,0.63391906,two_frontal
Bonobo01529_1_48198,1.0,0.8210157,two_frontal
Bonobo01529_1_6481,0.875,0.7608901,two_frontal
Bonobo01529_2_112805,1.0,0.78034455,two_frontal
Bonobo01529_2_113881,0.875,0.59486425,two_frontal
Bonobo01529_2_116539,1.0,0.7609098,two_frontal
Bonobo01529_2_138734,1.0,0.7972892,two_frontal
Bonobo01529_2_169172,1.0,0.5548212,two_frontal
Bonobo01529_2_189055,1.0,0.7957738,two_frontal
Bonobo01529_2_212003,0.875,0.6151656,two_frontal
Bonobo01529_2_21234,1.0,0.7544568,two_frontal
Bonobo01529_2_2412,1.0,0.80391896,two_frontal
Bonobo01529_2_79500,1.0,0.6556829,two_frontal
Bonobo01632_0_1112,1.0,0.71085906,two_frontal
Bonobo01632_0_119859,1.0,0.65685683,two_frontal
Bonobo01632_0_2320,1.0,0.72479695,two_frontal
Bonobo01632_0_27951,1.0,0.5731967,two_frontal
Bonobo01632_0_33588,1.0,0.70537084,two_frontal
Bonobo01632_0_347341,1.0,0.6251838,two_frontal
Bonobo01632_0_347578,1.0,0.7089379,two_frontal
Bonobo01632_0_349020,1.0,0.62367463,two_frontal
Bonobo01632_0_357293,1.0,0.7239217,two_frontal
Bonobo01632_0_438598,1.0,0.74747616,two_frontal
Bonobo01632_0_54644,1.0,0.7283677,two_frontal
Bonobo01632_0_55439,1.0,0.7580179,two_frontal
Bonobo01632_0_67697,1.0,0.6814681,two_frontal
Bonobo01632_0_68388,1.0,0.76911473,two_frontal
Bonobo01632_0_89819,1.0,0.6734911,two_frontal
Bonobo01632_0_90752,1.0,0.56273127,two_frontal
Bonobo01632_1_134202,1.0,0.014921924,two_frontal
Bonobo01715_0_1733,0.9166666666666666,0.38381442,two_frontal
Bonobo01725_0_102,0.9166666666666666,0.42655116,two_frontal
Bonobo01725_0_2983,0.9333333333333332,0.1461864,two_frontal
Bonobo01886_0_1706,0.8888888888888888,0.6231009,two_frontal
Bonobo01886_0_2484,1.0,0.5163394,two_frontal
Bonobo01886_0_841,0.9444444444444444,0.35275713,two_frontal
Bonobo02129_0_895,0.9166666666666666,0.79248893,two_frontal
Bonobo02140_0_1925,0.9166666666666666,0.24227162,two_frontal
Bonobo02140_0_2769,0.8888888888888888,0.6468376,two_frontal
Bonobo02233_0_100248,1.0,0.8587143,two_frontal
Bonobo02233_0_100702,1.0,0.78042567,two_frontal
Bonobo02233_0_124269,1.0,0.79679203,two_frontal
Bonobo02233_0_124399,1.0,0.84464246,two_frontal
Bonobo02233_0_143655,1.0,0.91395897,two_frontal
Bonobo02233_0_152514,1.0,0.86438894,two_frontal
Bonobo02233_0_152579,1.0,0.76177263,two_frontal
Bonobo02233_0_161177,1.0,0.8537068,two_frontal
Bonobo02233_0_161259,1.0,0.8841535,two_frontal
Bonobo02233_0_161886,1.0,0.85134804,two_frontal
Bonobo02233_0_75379,1.0,0.58014333,two_frontal
Bonobo02233_0_87628,1.0,0.7244923,two_frontal
Bonobo02233_1_3240,1.0,0.946227,two_frontal
Bonobo02345_0_104048,0.875,0.8420774,two_frontal
Bonobo02345_0_110566,0.875,0.8460079,two_frontal
Bonobo02345_0_116559,0.875,0.76664424,two_frontal
Bonobo02345_0_145915,0.875,0.5302872,two_frontal
Bonobo02345_0_153757,0.875,0.8244329,two_frontal
Bonobo02345_0_163154,0.875,0.75898755,two_frontal
Bonobo02345_0_168587,0.875,0.59605235,two_frontal
Bonobo02345_0_169260,0.875,0.724743,two_frontal
Bonobo02345_0_177080,0.875,0.83285856,two_frontal
Bonobo02345_0_188921,0.875,0.7236406,two_frontal
Bonobo02345_0_200098,0.875,0.8082431,two_frontal
Bonobo02345_0_203924,0.875,0.6866014,two_frontal
Bonobo02345_0_208256,0.875,0.60133487,two_frontal
Bonobo02345_0_227494,0.875,0.56654257,two_frontal
Bonobo02345_0_72262,0.875,0.80335706,two_frontal
Bonobo02439_1_4391,0.875,0.70210916,two_frontal
Bonobo02455_1_120345,1.0,0.8143318,two_frontal
Bonobo02455_1_151139,1.0,0.893482,two_frontal
Bonobo02455_1_176309,1.0,0.88114834,two_frontal
Bonobo02455_1_182660,1.0,0.86633605,two_frontal
Bonobo02455_1_83719,0.875,0.78941506,two_frontal
Bonobo02455_1_86195,0.875,0.67754734,two_frontal
Bonobo02455_1_87064,1.0,0.8901416,two_frontal
Bonobo02455_1_90313,0.875,0.8354063,two_frontal
Bonobo02479_0_2478,0.9166666666666666,0.5917451,two_frontal
Bonobo02526_1_103011,0.875,0.49085143,two_frontal
Bonobo02526_1_113383,0.875,0.69951767,two_frontal
Bonobo02526_1_123275,0.875,0.8343411,two_frontal
Bonobo02526_1_20299,0.875,0.77093285,two_frontal
Bonobo02526_1_24045,0.875,0.6761745,two_frontal
Bonobo02526_1_28098,0.875,0.6271533,two_frontal
Bonobo02526_1_28664,0.875,0.54446083,two_frontal
Bonobo02526_1_29032,0.875,0.7178077,two_frontal
Bonobo02526_1_37160,0.875,0.6974214,two_frontal
Bonobo02526_1_48335,0.875,0.78039706,two_frontal
Bonobo02526_1_61004,0.875,0.63611573,two_frontal
Bonobo02526_1_61840,0.875,0.7668625,two_frontal
Bonobo02526_1_62803,0.875,0.7155292,two_frontal
Bonobo02526_1_63286,0.875,0.85032827,two_frontal
Bonobo02526_1_77641,0.875,0.72688967,two_frontal
Bonobo02526_1_78910,0.875,0.7575771,two_frontal
Bonobo02526_1_88526,0.875,0.7407615,two_frontal
Bonobo02526_1_97816,0.875,0.7005281,two_frontal
Bonobo02775_0_122446,1.0,0.8272545,two_frontal
Bonobo02775_0_169905,0.875,0.83217776,two_frontal
Bonobo02775_0_19568,0.875,0.87065655,two_frontal
Bonobo02775_0_207069,1.0,0.8958882,two_frontal
Bonobo02775_0_230712,0.875,0.87766355,two_frontal
Bonobo02775_0_247162,0.875,0.8798002,two_frontal
Bonobo02775_0_258802,0.875,0.89401186,two_frontal
Bonobo02775_0_274913,1.0,0.8497218,two_frontal
Bonobo02775_0_284204,0.875,0.8783995,two_frontal
Bonobo02775_0_29266,0.875,0.73493636,two_frontal
Bonobo02775_0_292928,1.0,0.91793907,two_frontal
Bonobo02775_0_295283,0.875,0.89746267,two_frontal
Bonobo02775_0_46048,1.0,0.8805183,two_frontal
Bonobo02775_0_47330,0.875,0.8498747,two_frontal
Bonobo02775_0_52664,0.875,0.87827957,two_frontal
Bonobo02775_0_6237,0.875,0.7825102,two_frontal
Bonobo02775_0_6499,0.875,0.87568015,two_frontal
Bonobo02775_0_68890,1.0,0.83663034,two_frontal
Bonobo02775_0_92769,0.875,0.8808703,two_frontal
Bonobo02966_1_101361,1.0,0.7947103,two_frontal
Bonobo02966_1_102082,1.0,0.42386025,two_frontal
Bonobo02966_1_107505,1.0,0.6548804,two_frontal
Bonobo02966_1_107660,1.0,0.68462837,two_frontal
Bonobo02966_1_110011,0.875,0.50623804,two_frontal
Bonobo02966_1_11332,1.0,0.77192724,two_frontal
Bonobo02966_1_114029,1.0,0.3210863,two_frontal
Bonobo02966_1_121258,1.0,0.88672245,two_frontal
Bonobo02966_1_122715,1.0,0.14334522,two_frontal
Bonobo02966_1_127894,0.875,0.63992256,two_frontal
Bonobo02966_1_129650,1.0,0.5952711,two_frontal
Bonobo02966_1_131450,0.875,0.3364122,two_frontal
Bonobo02966_1_132255,1.0,0.6133085,two_frontal
Bonobo02966_1_13411,1.0,0.82086873,two_frontal
Bonobo02966_1_138318,1.0,0.6353736,two_frontal
Bonobo02966_1_139610,1.0,0.517816,two_frontal
Bonobo02966_1_140525,1.0,0.5058422,two_frontal
Bonobo02966_1_14410,1.0,0.83009607,two_frontal
Bonobo02966_1_147377,1.0,0.8777451,two_frontal
Bonobo02966_1_152596,0.875,0.8143147,two_frontal
Bonobo02966_1_158891,0.875,0.66638947,two_frontal
Bonobo02966_1_159778,1.0,0.6537142,two_frontal
Bonobo02966_1_162079,0.875,0.79969674,two_frontal
Bonobo02966_1_164567,0.875,0.26555237,two_frontal
Bonobo02966_1_166158,1.0,0.49814272,two_frontal
Bonobo02966_1_16916,1.0,0.020598952,two_frontal
Bonobo02966_1_172264,1.0,0.28527942,two_frontal
Bonobo02966_1_174319,1.0,0.4714536,two_frontal
Bonobo02966_1_17588,1.0,0.16711913,two_frontal
Bonobo02966_1_178153,0.875,0.3857608,two_frontal
Bonobo02966_1_182561,0.875,0.38797036,two_frontal
Bonobo02966_1_183722,1.0,0.6773951,two_frontal
Bonobo02966_1_184057,0.875,0.7971811,two_frontal
Bonobo02966_1_193402,0.875,0.60842776,two_frontal
Bonobo02966_1_194022,0.875,0.70887953,two_frontal
Bonobo02966_1_195216,1.0,0.42859548,two_frontal
Bonobo02966_1_196510,1.0,0.68811864,two_frontal
Bonobo02966_1_196679,1.0,0.73047346,two_frontal
Bonobo02966_1_19728,1.0,0.38193557,two_frontal
Bonobo02966_1_200684,0.875,0.7084074,two_frontal
Bonobo02966_1_210467,1.0,0.929903,two_frontal
Bonobo02966_1_211046,0.875,0.77236646,two_frontal
Bonobo02966_1_212787,0.875,0.71279585,two_frontal
Bonobo02966_1_214274,0.875,0.7388506,two_frontal
Bonobo02966_1_215278,0.875,0.3158772,two_frontal
Bonobo02966_1_219982,0.875,0.3099525,two_frontal
Bonobo02966_1_222999,0.875,0.3340018,two_frontal
Bonobo02966_1_227363,0.875,0.52475834,two_frontal
Bonobo02966_1_231638,1.0,0.8217079,two_frontal
Bonobo02966_1_27648,0.8947368421052632,0.7045642,two_frontal
Bonobo02966_1_4379,1.0,0.9209386,two_frontal
Bonobo02966_1_45921,1.0,0.38785458,two_frontal
Bonobo02966_1_49815,0.875,0.7757381,two_frontal
Bonobo02966_1_50210,1.0,0.79640704,two_frontal
Bonobo02966_1_5159,0.875,0.6535197,two_frontal
Bonobo02966_1_5306,0.875,0.098284684,two_frontal
Bonobo02966_1_6528,1.0,0.5701637,two_frontal
Bonobo02966_1_71532,0.875,0.69816643,two_frontal
Bonobo02966_1_7342,1.0,0.65851873,two_frontal
Bonobo02966_1_80666,0.875,0.536582,two_frontal
Bonobo02966_1_8232,0.875,0.4916662,two_frontal
Bonobo02966_1_82891,0.875,0.13407716,two_frontal
Bonobo02966_1_92221,1.0,0.83752275,two_frontal
Bonobo02966_1_92309,0.875,0.31768215,two_frontal
Bonobo02966_1_94400,0.875,0.63338536,two_frontal
Bonobo02966_1_98459,1.0,0.50905335,two_frontal
Bonobo02966_1_99425,0.875,0.6947806,two_frontal
Bonobo02966_2_15895,0.875,0.49171796,two_frontal
Bonobo02966_2_21179,1.0,0.31182456,two_frontal
Bonobo02966_2_23234,0.875,0.6912021,two_frontal
Bonobo02966_2_25331,1.0,0.65794915,two_frontal
Bonobo02966_2_26657,1.0,0.2785534,two_frontal
Bonobo02966_2_28509,1.0,0.6696771,two_frontal
Bonobo02966_2_33111,0.875,0.23910923,two_frontal
Bonobo02966_2_33803,0.875,0.5567696,two_frontal
Bonobo02966_2_36142,1.0,0.16180155,two_frontal
Bonobo02966_2_36225,0.875,0.3291259,two_frontal
Bonobo02966_2_38234,1.0,0.34693494,two_frontal
Bonobo02966_2_38879,1.0,0.71897036,two_frontal
Bonobo02966_2_41127,0.875,0.6166023,two_frontal
Bonobo02966_2_45751,1.0,0.39896384,two_frontal
Bonobo02966_2_7413,0.875,0.1534421,two_frontal
Bonobo02966_2_8557,1.0,0.33786967,two_frontal
Bonobo02966_2_9247,1.0,0.4286696,two_frontal
Bonobo03049_1_5076,1.0,0.4954986,two_frontal
Bonobo03049_1_56819,0.875,0.21805365,two_frontal
Bonobo03049_1_6453,1.0,0.6322955,two_frontal
Bonobo03049_1_86578,1.0,0.39588684,two_frontal
Bonobo03049_1_90655,1.0,0.5095858,two_frontal
Bonobo03049_1_92668,0.875,0.30667242,two_frontal
Bonobo03049_1_95056,0.875,0.44070667,two_frontal
Bonobo03049_1_97796,1.0,0.097083,two_frontal
Bonobo03049_1_98911,1.0,0.035442,two_frontal
Bonobo03049_1_98984,1.0,0.17182188,two_frontal
Bonobo03231_1_59430,0.875,0.7166542,two_frontal
Bonobo03231_1_59570,1.0,0.7535764,two_frontal
Bonobo03231_1_62354,0.875,0.8346194,two_frontal
Bonobo03231_1_67547,1.0,0.65048087,two_frontal
Bonobo03231_2_218594,0.875,0.70719403,two_frontal
Bonobo03231_2_219039,0.875,0.5410583,two_frontal
Bonobo03231_2_227911,1.0,0.703905,two_frontal
Bonobo03231_2_245489,0.875,0.79697186,two_frontal
Bonobo03231_4_296434,0.875,0.40192574,two_frontal
Bonobo03231_4_303300,1.0,0.66834307,two_frontal
Bonobo03231_4_303707,0.875,0.68116814,two_frontal
Bonobo03231_4_306410,1.0,0.4700254,two_frontal
Bonobo03231_4_307075,0.875,0.3251985,two_frontal
Bonobo03231_4_312402,1.0,0.16808294,two_frontal
Bonobo03231_4_315529,0.875,0.68468606,two_frontal
Bonobo03231_4_315592,1.0,0.6289146,two_frontal
Bonobo03231_4_324800,1.0,0.7574293,two_frontal
Bonobo03231_4_325267,0.875,0.22239657,two_frontal
Bonobo03285_0_181323,0.875,0.89395505,two_frontal
Bonobo03285_0_198518,0.875,0.83880293,two_frontal
Bonobo03285_0_236155,0.875,0.8314926,two_frontal
Bonobo03285_0_254295,0.875,0.8376598,two_frontal
Bonobo03389_1_115714,1.0,0.75039214,two_frontal
Bonobo03389_1_4909,0.875,0.7841522,two_frontal
Bonobo03389_1_50478,0.875,0.68297803,two_frontal
Bonobo03389_1_70908,1.0,0.7730634,two_frontal
Bonobo03389_1_7117,0.875,0.8931957,two_frontal
Bonobo03389_1_85586,0.875,0.85081416,two_frontal
Bonobo03389_1_94892,0.875,0.53787583,two_frontal
Bonobo03628_0_27,1.0,0.6999285,two_frontal
Bonobo03666_0_20488,1.0,0.93284565,two_frontal
Bonobo03666_0_23870,1.0,0.91553813,two_frontal
Bonobo03666_0_6292,0.875,0.8996189,two_frontal
Bonobo03666_0_6293,0.875,0.88239014,two_frontal
Bonobo03675_0_136009,1.0,0.7173849,two_frontal
Bonobo03675_0_143762,0.875,0.7061748,two_frontal
Bonobo03675_0_145003,1.0,0.6593724,two_frontal
Bonobo03675_0_150554,0.875,0.68831503,two_frontal
Bonobo03675_0_151937,1.0,0.887404,two_frontal
Bonobo03675_0_157284,0.875,0.83182454,two_frontal
Bonobo03675_0_158971,0.875,0.8985257,two_frontal
Bonobo03675_0_161140,0.875,0.80028135,two_frontal
Bonobo03675_0_170250,0.875,0.82659364,two_frontal
Bonobo03675_0_172264,0.875,0.9105107,two_frontal
Bonobo03675_0_177460,0.875,0.65867305,two_frontal
Bonobo03675_0_180412,0.875,0.7299421,two_frontal
Bonobo03675_0_186226,1.0,0.4925302,two_frontal
Bonobo03675_0_194500,0.875,0.9370376,two_frontal
Bonobo03675_0_195131,1.0,0.86727715,two_frontal
Bonobo03675_0_204593,1.0,0.84301245,two_frontal
Bonobo03758_0_275676,1.0,0.9390328,two_frontal
Bonobo03758_0_289810,0.875,0.8886239,two_frontal
Bonobo03758_0_298201,1.0,0.8802579,two_frontal
Bonobo03809_0_3103,1.0,0.12403614,two_frontal
Bonobo03809_0_3176,0.9166666666666666,0.3257177,two_frontal
Bonobo03809_1_100904,1.0,0.7861833,two_frontal
Bonobo03809_1_112480,0.875,0.48761043,two_frontal
Bonobo03809_1_116116,1.0,0.41320032,two_frontal
Bonobo03809_1_12631,1.0,0.7240687,two_frontal
Bonobo03809_1_127176,1.0,0.59643805,two_frontal
Bonobo03809_1_139730,0.875,0.23656175,two_frontal
Bonobo03809_1_148538,1.0,0.6779519,two_frontal
Bonobo03809_1_156104,1.0,0.46867514,two_frontal
Bonobo03809_1_156594,1.0,0.7166448,two_frontal
Bonobo03809_1_158083,1.0,0.8193448,two_frontal
Bonobo03809_1_185724,1.0,0.32855552,two_frontal
Bonobo03809_1_203889,0.875,0.6416347,two_frontal
Bonobo03809_1_210270,1.0,0.48366955,two_frontal
