n_keeper,run,AUROC
0,0,0.5
0,1,0.5
0,2,0.5
0,3,0.5
0,4,0.5
0,5,0.5
0,6,0.5
0,7,0.5
0,8,0.5
0,9,0.5
1,0,0.8934963767364495
1,1,0.8751954737204508
1,2,0.8753572450753068
1,3,0.869678655721521
1,4,0.8791816858234369
1,5,0.8649250666788341
1,6,0.8558368349227023
1,7,0.8648628469269665
1,8,0.865821031105728
1,9,0.8846196921366677
2,0,0.910254229906131
2,1,0.9178118557663193
2,2,0.9094910009498882
2,3,0.9058490714739029
2,4,0.9014688009424219
2,5,0.8978268714664366
2,6,0.9050360667161659
2,7,0.8968064675358076
2,8,0.8924261970043265
2,9,0.8936332601905584
3,0,0.9164886490432677
3,1,0.9245772167860594
3,2,0.9206988522529773
3,3,0.9191101745886238
3,4,0.9302226222721824
3,5,0.9140745226708036
3,6,0.9068943633052791
3,7,0.90975647189119
3,8,0.9188861834819004
3,9,0.9134357332182959
4,0,0.9127844998154148
4,1,0.9190645467705875
4,2,0.9124651050891608
4,3,0.9154018773773132
4,4,0.9254317013783749
4,5,0.91836768554967
4,6,0.9169781110912929
4,7,0.9190106229856355
4,8,0.9189691431510572
4,9,0.9170901066446547
5,0,0.920781811922134
5,1,0.9304797972465685
5,2,0.9337027803933118
5,3,0.9222460500827523
5,4,0.9228433597006815
5,5,0.9196908922727216
5,6,0.9274642132727173
5,7,0.9289533393340829
5,8,0.932777780082213
5,9,0.9284887651868046
6,0,0.9306871964194607
6,1,0.9295630929023855
6,2,0.9264977331270403
6,3,0.9356398886681239
6,4,0.9337069283767695
6,5,0.9400243071830628
6,6,0.9361708305507278
6,7,0.9299778912481698
6,8,0.9289989671521189
6,9,0.9342461662262892
7,0,0.930152106553399
7,1,0.9326948204130562
7,2,0.9371746425475255
7,3,0.9377926920827441
7,4,0.9362247543356798
7,5,0.9385891049066496
7,6,0.9345054151924042
7,7,0.930259954123303
7,8,0.9350135431659898
7,9,0.930471501279653
8,0,0.9365980728468855
8,1,0.9427080524802868
8,2,0.9371953824648147
8,3,0.9370999788452843
8,4,0.9406174688175344
8,5,0.9353910096606535
8,6,0.9396675806056887
8,7,0.9315914568132703
8,8,0.9335244171046246
8,9,0.9395638810192425
9,0,0.9403229619920276
9,1,0.940181930554461
9,2,0.9387716161787947
9,3,0.9447861921926657
9,4,0.944350653929592
9,5,0.9437118644770845
9,6,0.9362040144183904
9,7,0.9436164608575541
9,8,0.9388587238314093
9,9,0.938054015040588
10,0,0.9423886577540328
10,1,0.9363865256905355
10,2,0.9372783421339715
10,3,0.9439400035672657
10,4,0.9406299127679077
10,5,0.9410032312791137
10,6,0.9430606310742033
10,7,0.9431352947764444
10,8,0.9419489715075016
10,9,0.9430772230080346
11,0,0.9437740842289521
11,1,0.943251438313264
11,2,0.9410156752294871
11,3,0.9415009892940548
11,4,0.9394892173170013
11,5,0.9465407891953326
11,6,0.939970383398111
11,7,0.9413558098730304
11,8,0.9470966189786834
11,9,0.9464951613772964
12,0,0.9458688158751622
12,1,0.9453337260091006
12,2,0.9465200492780435
12,3,0.9408248679904265
12,4,0.9471837266312982
12,5,0.9452798022241488
12,6,0.9483285700656625
12,7,0.9417872001526458
12,8,0.9398417959109179
12,9,0.9449272236302321
13,0,0.947113210912515
13,1,0.9459310356270298
13,2,0.943438097568867
13,3,0.9423305859856231
13,4,0.9460845110149702
13,5,0.9481916866115537
13,6,0.9444253176318332
13,7,0.9451180308692928
13,8,0.9428159000501906
13,9,0.9435459451387708
14,0,0.9450972909520037
14,1,0.9481626507273488
14,2,0.9476565967454922
14,3,0.9476275608612872
14,4,0.9470800270448521
14,5,0.9453627618933056
14,6,0.9454457215624623
14,7,0.9451843986046183
14,8,0.9490046913692908
14,9,0.9458148920902103
15,0,0.9462919101878622
15,1,0.9507717323223315
15,2,0.9471256548628884
15,3,0.9483368660325783
15,4,0.9449728514482685
15,5,0.9467150045005621
15,6,0.9494402296323643
15,7,0.946715004500562
15,8,0.9470468431771895
15,9,0.9495231893015211
16,0,0.9510372032636334
16,1,0.9491913506248937
16,2,0.9495024493842318
16,3,0.9486645567257477
16,4,0.9486728526926635
16,5,0.9514976294274539
16,6,0.949655924772172
16,7,0.9470426951937315
16,8,0.9494858574504005
16,9,0.9500043553826307
17,0,0.9505726291163551
17,1,0.9518667999552017
17,2,0.9501329428698239
17,3,0.950049983200667
17,4,0.9495563731691838
17,5,0.9498094001601121
17,6,0.9504772254968247
17,7,0.9487018885768684
17,8,0.9474823814402628
17,9,0.9511201629327901
18,0,0.9490917990219054
18,1,0.9514437056425019
18,2,0.951783840286045
18,3,0.9528954998527466
18,4,0.949680812672919
18,5,0.9497554763751603
18,6,0.9506307008847648
18,7,0.9485650051227595
18,8,0.949867471928522
18,9,0.9516137729642733
19,0,0.95138978185755
19,1,0.95138978185755
19,2,0.95138978185755
19,3,0.95138978185755
19,4,0.95138978185755
19,5,0.95138978185755
19,6,0.95138978185755
19,7,0.95138978185755
19,8,0.95138978185755
19,9,0.95138978185755
