event_file,fraction_of_yes,pred,ChannelLocation
Bonobo00054_1_127764,1.0,0.8207804,frontal
Bonobo00054_1_84546,1.0,0.29015246,frontal
Bonobo00055_1_59760,0.875,0.5477827,frontal
Bonobo00200_0_128917,0.875,0.31849122,frontal
Bonobo00346_1_191211,0.875,0.1983251,frontal
Bonobo00365_1_84454,1.0,0.4921664,frontal
Bonobo00365_2_125435,0.875,0.6466567,frontal
Bonobo00413_1_190857,0.875,0.57235205,frontal
Bonobo00456_0_2689,0.9166666666666666,0.50588435,frontal
Bonobo00456_0_2839,0.9444444444444444,0.38917005,frontal
Bonobo00605_1_71243,1.0,0.6114945,frontal
Bonobo00653_0_18046,0.875,0.3657001,frontal
Bonobo00663_0_1426,0.9166666666666666,0.44401586,frontal
Bonobo00663_0_1800,0.9444444444444444,0.43065768,frontal
Bonobo00663_0_2690,0.9444444444444444,0.5616246,frontal
Bonobo00663_0_3378,0.8888888888888888,0.6281275,frontal
Bonobo00663_0_434,0.9444444444444444,0.43944898,frontal
Bonobo00696_0_3144,0.8888888888888888,0.72775304,frontal
Bonobo00799_1_133580,0.875,0.7095694,frontal
Bonobo00799_1_156185,0.875,0.75942063,frontal
Bonobo00799_1_162273,0.875,0.3324007,frontal
Bonobo00799_1_23254,0.875,0.50848174,frontal
Bonobo00799_1_43772,0.875,0.68137133,frontal
Bonobo00809_0_1073,0.9166666666666666,0.47062695,frontal
Bonobo00809_0_2432,1.0,0.79161537,frontal
Bonobo01128_1_144856,1.0,0.8619991,frontal
Bonobo01128_1_31399,0.875,0.635849,frontal
Bonobo01205_1_238242,0.875,0.84467936,frontal
Bonobo01213_0_2555,1.0,0.4137258,frontal
Bonobo01213_0_3540,0.9333333333333332,0.36575824,frontal
Bonobo01268_1_145144,0.875,0.59240484,frontal
Bonobo01268_1_3734,0.875,0.42488205,frontal
Bonobo01268_1_43578,0.875,0.579083,frontal
Bonobo01268_1_67181,0.875,0.53734607,frontal
Bonobo01268_2_123595,0.875,0.34723172,frontal
Bonobo01268_2_123595,0.875,0.34723172,frontal
Bonobo01308_0_1587,0.8888888888888888,0.5876216,frontal
Bonobo01343_0_1524,1.0,0.4870363,frontal
Bonobo01343_0_1627,0.9333333333333332,0.5349929,frontal
Bonobo01343_0_3519,1.0,0.597861,frontal
Bonobo01343_0_3530,1.0,0.6214827,frontal
Bonobo01351_1_113446,0.75,0.20989223,frontal
Bonobo01351_1_116709,0.75,0.38072747,frontal
Bonobo01351_1_24847,0.875,0.2591997,frontal
Bonobo01351_1_28656,0.875,0.35622618,frontal
Bonobo01351_1_34418,0.875,0.47331506,frontal
Bonobo01351_1_74178,0.875,0.35096347,frontal
Bonobo01351_1_74178,0.875,0.35096347,frontal
Bonobo01351_1_74178,0.875,0.35096347,frontal
Bonobo01357_1_62056,0.875,0.562251,frontal
Bonobo01357_1_66188,0.875,0.6276565,frontal
Bonobo01373_1_4892,0.625,0.5296753,frontal
Bonobo01510_0_195393,1.0,0.74542177,frontal
Bonobo01529_1_138522,0.875,0.8729542,frontal
Bonobo01529_1_177357,1.0,0.46581304,frontal
Bonobo01529_1_223340,0.875,0.77058977,frontal
Bonobo01529_1_40601,0.875,0.8215595,frontal
Bonobo01529_1_4135,1.0,0.8239751,frontal
Bonobo01529_1_41731,1.0,0.50874424,frontal
Bonobo01529_1_48198,1.0,0.8343447,frontal
Bonobo01529_1_6481,0.875,0.6685056,frontal
Bonobo01529_2_112805,1.0,0.8368666,frontal
Bonobo01529_2_113881,0.875,0.40704706,frontal
Bonobo01529_2_116539,1.0,0.8320121,frontal
Bonobo01529_2_138734,1.0,0.833125,frontal
Bonobo01529_2_169172,1.0,0.8146595,frontal
Bonobo01529_2_189055,1.0,0.89416814,frontal
Bonobo01529_2_212003,0.875,0.7947928,frontal
Bonobo01529_2_21234,1.0,0.61067235,frontal
Bonobo01529_2_2412,1.0,0.7886305,frontal
Bonobo01529_2_79500,1.0,0.6697373,frontal
Bonobo01593_0_126818,0.875,0.51402766,frontal
Bonobo01593_0_131668,0.875,0.7396322,frontal
Bonobo01593_0_15924,0.875,0.81938607,frontal
Bonobo01593_0_200270,1.0,0.877613,frontal
Bonobo01632_0_2320,1.0,0.8658497,frontal
Bonobo01632_0_347578,1.0,0.75889754,frontal
Bonobo01632_0_54644,1.0,0.70452267,frontal
Bonobo01632_1_134202,1.0,0.09603894,frontal
Bonobo01672_2_132557,0.875,0.4784246,frontal
Bonobo01672_2_93328,0.875,0.6317442,frontal
Bonobo01672_4_125524,0.875,0.82547724,frontal
Bonobo01700_0_10862,0.875,0.7948929,frontal
Bonobo01700_0_16835,1.0,0.81818485,frontal
Bonobo01700_0_61985,0.875,0.6191544,frontal
Bonobo01700_0_9469,0.875,0.6193239,frontal
Bonobo01725_0_102,0.9166666666666666,0.6399495,frontal
Bonobo01725_0_2983,0.9333333333333332,0.20418736,frontal
Bonobo01776_0_818,0.8888888888888888,0.6627839,frontal
Bonobo01837_0_169706,0.875,0.53498524,frontal
Bonobo02005_1_252847,1.0,0.46979785,frontal
Bonobo02005_1_252847,1.0,0.46979785,frontal
Bonobo02031_0_3242,0.9333333333333332,0.72641426,frontal
Bonobo02152_0_1034,0.9166666666666666,0.25057167,frontal
Bonobo02152_0_20,0.9333333333333332,0.58202845,frontal
Bonobo02152_0_204,1.0,0.710066,frontal
Bonobo02152_0_2490,1.0,0.4164463,frontal
Bonobo02152_0_608,0.9444444444444444,0.6853142,frontal
Bonobo02166_0_2695,0.6666666666666666,0.7497528,frontal
Bonobo02172_0_2165,0.9166666666666666,0.723834,frontal
Bonobo02253_1_76355,0.875,0.63501364,frontal
Bonobo02345_0_118494,0.75,0.6459581,frontal
Bonobo02351_1_155392,0.875,0.7076388,frontal
Bonobo02351_1_188404,0.875,0.44973364,frontal
Bonobo02351_1_208947,0.875,0.8377948,frontal
Bonobo02351_1_246594,1.0,0.886901,frontal
Bonobo02351_1_250429,1.0,0.68075967,frontal
Bonobo02351_1_262992,0.875,0.4989169,frontal
Bonobo02351_1_266491,1.0,0.71949047,frontal
Bonobo02351_1_268950,0.875,0.68256736,frontal
Bonobo02351_1_274305,1.0,0.7047076,frontal
Bonobo02351_1_291242,0.875,0.9029757,frontal
Bonobo02351_1_357680,1.0,0.9019506,frontal
Bonobo02396_0_129690,0.875,0.7938914,frontal
Bonobo02396_0_153550,1.0,0.806667,frontal
Bonobo02408_2_182475,1.0,0.91802436,frontal
Bonobo02408_3_52490,1.0,0.9638833,frontal
Bonobo02408_3_53085,1.0,0.91167355,frontal
Bonobo02408_3_53174,1.0,0.9316489,frontal
Bonobo02412_0_277420,1.0,0.72247386,frontal
Bonobo02412_0_277968,1.0,0.96811825,frontal
Bonobo02412_0_340540,1.0,0.9281357,frontal
Bonobo02412_0_340592,1.0,0.88377875,frontal
Bonobo02412_0_340639,1.0,0.9096589,frontal
Bonobo02412_0_340889,1.0,0.91453344,frontal
Bonobo02412_1_140497,0.875,0.71435636,frontal
Bonobo02457_0_33854,0.875,0.70826626,frontal
Bonobo02457_0_71451,0.875,0.6660148,frontal
Bonobo02457_0_74653,1.0,0.4702508,frontal
Bonobo02473_0_161447,0.625,0.5070306,frontal
Bonobo02473_0_161447,0.625,0.5070306,frontal
Bonobo02473_0_164624,1.0,0.68762827,frontal
Bonobo02473_0_164624,1.0,0.68762827,frontal
Bonobo02473_0_209982,0.875,0.7158442,frontal
Bonobo02473_0_209982,0.875,0.7158442,frontal
Bonobo02473_0_26801,1.0,0.90477765,frontal
Bonobo02473_0_62708,1.0,0.8616787,frontal
Bonobo02473_0_62708,1.0,0.8616787,frontal
Bonobo02473_0_62708,1.0,0.8616787,frontal
Bonobo02473_0_96568,0.625,0.7452035,frontal
Bonobo02478_0_197403,1.0,0.7130581,frontal
Bonobo02494_1_101088,0.875,0.751632,frontal
Bonobo02494_1_119009,1.0,0.6496223,frontal
Bonobo02494_1_129113,0.875,0.60784644,frontal
Bonobo02494_1_139323,0.875,0.75615853,frontal
