event_file,fraction_of_yes,pred,ChannelLocation
Bonobo00215_0_2074,0.9166666666666666,0.8473145,frontal
Bonobo00340_0_158,0.8888888888888888,0.84746015,frontal
Bonobo00340_0_1710,1.0,0.858151,frontal
Bonobo00340_0_621,1.0,0.8835886,frontal
Bonobo00340_0_76,1.0,0.77772933,frontal
Bonobo00499_0_134276,0.875,0.5779175,frontal
Bonobo00499_0_215374,0.875,0.57766825,frontal
Bonobo00607_0_1290,1.0,0.45363405,frontal
Bonobo00607_0_2292,0.8888888888888888,0.41443074,frontal
Bonobo00607_0_2465,0.9166666666666666,0.41131014,frontal
Bonobo00799_1_133580,0.875,0.7095694,frontal
Bonobo00799_1_156185,0.875,0.75942063,frontal
Bonobo00799_1_162273,0.875,0.3324007,frontal
Bonobo00799_1_23254,0.875,0.50848174,frontal
Bonobo00799_1_43772,0.875,0.68137133,frontal
Bonobo00986_0_110790,1.0,0.9375842,frontal
Bonobo00986_0_120792,1.0,0.9035647,frontal
Bonobo00986_0_120794,1.0,0.9038569,frontal
Bonobo00986_0_130154,1.0,0.9152647,frontal
Bonobo00986_0_130189,1.0,0.9578324,frontal
Bonobo00986_0_130222,1.0,0.9426485,frontal
Bonobo00986_0_130223,1.0,0.94745666,frontal
Bonobo00986_0_130237,1.0,0.92903024,frontal
Bonobo00986_0_136305,1.0,0.92884815,frontal
Bonobo00986_0_152542,1.0,0.9342228,frontal
Bonobo00986_0_152747,1.0,0.9228227,frontal
Bonobo00986_0_163733,1.0,0.9375009,frontal
Bonobo00986_0_166906,1.0,0.90930986,frontal
Bonobo00986_0_169692,1.0,0.91866314,frontal
Bonobo00986_0_169697,1.0,0.9133851,frontal
Bonobo00986_0_176728,1.0,0.9436098,frontal
Bonobo00986_0_187228,1.0,0.9255634,frontal
Bonobo00986_0_187230,0.875,0.92183226,frontal
Bonobo00986_0_210979,1.0,0.93728554,frontal
Bonobo00986_0_211089,1.0,0.95954496,frontal
Bonobo00986_0_40249,1.0,0.89981854,frontal
Bonobo00986_0_43985,1.0,0.9456203,frontal
Bonobo00986_0_54183,0.875,0.91433185,frontal
Bonobo00986_0_54186,1.0,0.9174205,frontal
Bonobo00986_0_54187,1.0,0.91699624,frontal
Bonobo00986_0_54190,1.0,0.9065642,frontal
Bonobo00986_0_68217,1.0,0.91391087,frontal
Bonobo00986_0_68256,1.0,0.83783865,frontal
Bonobo00986_0_87683,1.0,0.90288323,frontal
Bonobo00986_1_117285,1.0,0.67087764,frontal
Bonobo00986_1_117378,1.0,0.8802774,frontal
Bonobo00986_1_117467,1.0,0.8983829,frontal
Bonobo00986_1_117616,0.875,0.9098962,frontal
Bonobo00986_1_117746,1.0,0.91659975,frontal
Bonobo00986_1_117748,1.0,0.91282076,frontal
Bonobo00986_1_125348,1.0,0.8552326,frontal
Bonobo00986_1_125433,1.0,0.85395825,frontal
Bonobo00986_1_125570,1.0,0.7269256,frontal
Bonobo00986_1_125759,0.875,0.8921338,frontal
Bonobo01095_1_116347,0.875,0.6981873,frontal
Bonobo01095_1_154334,0.875,0.806033,frontal
Bonobo01229_1_20087,1.0,0.7060219,frontal
Bonobo01229_1_75526,0.875,0.7123046,frontal
Bonobo01229_1_90970,0.875,0.6058578,frontal
Bonobo01351_1_24847,0.875,0.2591997,frontal
Bonobo01351_1_28656,0.875,0.35622618,frontal
Bonobo01351_1_34418,0.875,0.47331506,frontal
Bonobo01351_1_74178,0.875,0.35096347,frontal
Bonobo01510_0_195393,1.0,0.74542177,frontal
Bonobo01529_1_138522,0.875,0.8729542,frontal
Bonobo01529_1_177357,1.0,0.46581304,frontal
Bonobo01529_1_223340,0.875,0.77058977,frontal
Bonobo01529_1_40601,0.875,0.8215595,frontal
Bonobo01529_1_4135,1.0,0.8239751,frontal
Bonobo01529_1_41731,1.0,0.50874424,frontal
Bonobo01529_1_48198,1.0,0.8343447,frontal
Bonobo01529_1_6481,0.875,0.6685056,frontal
Bonobo01529_2_112805,1.0,0.8368666,frontal
Bonobo01529_2_113881,0.875,0.40704706,frontal
Bonobo01529_2_116539,1.0,0.8320121,frontal
Bonobo01529_2_138734,1.0,0.833125,frontal
Bonobo01529_2_169172,1.0,0.8146595,frontal
Bonobo01529_2_189055,1.0,0.89416814,frontal
Bonobo01529_2_212003,0.875,0.7947928,frontal
Bonobo01529_2_21234,1.0,0.61067235,frontal
Bonobo01529_2_2412,1.0,0.7886305,frontal
Bonobo01529_2_79500,1.0,0.6697373,frontal
Bonobo01632_0_1112,1.0,0.6943942,frontal
Bonobo01632_0_119859,1.0,0.67371875,frontal
Bonobo01632_0_2320,1.0,0.8658497,frontal
Bonobo01632_0_27951,1.0,0.62141263,frontal
Bonobo01632_0_33588,1.0,0.68103635,frontal
Bonobo01632_0_347341,1.0,0.68032354,frontal
Bonobo01632_0_347578,1.0,0.75889754,frontal
Bonobo01632_0_349020,1.0,0.6561063,frontal
Bonobo01632_0_357293,1.0,0.6904747,frontal
Bonobo01632_0_438598,1.0,0.673286,frontal
Bonobo01632_0_54644,1.0,0.70452267,frontal
Bonobo01632_0_55439,1.0,0.71635413,frontal
Bonobo01632_0_67697,1.0,0.72567606,frontal
Bonobo01632_0_68388,1.0,0.78621596,frontal
Bonobo01632_0_89819,1.0,0.5374514,frontal
Bonobo01632_0_90752,1.0,0.67133987,frontal
Bonobo01632_1_134202,1.0,0.09603894,frontal
Bonobo01715_0_1733,0.9166666666666666,0.29778388,frontal
Bonobo01725_0_102,0.9166666666666666,0.6399495,frontal
Bonobo01725_0_2983,0.9333333333333332,0.20418736,frontal
Bonobo01886_0_1706,0.8888888888888888,0.8788275,frontal
Bonobo01886_0_2484,1.0,0.8841779,frontal
Bonobo01886_0_841,0.9444444444444444,0.65691274,frontal
Bonobo02129_0_895,0.9166666666666666,0.7424491,frontal
Bonobo02140_0_1925,0.9166666666666666,0.6595384,frontal
