n_keeper,run,AUROC
0,0,0.5
0,1,0.5
0,2,0.5
1,0,0.8749714826137274
1,1,0.8784640846852303
1,2,0.8831824158685255
2,0,0.9000999664013338
2,1,0.8995607285518146
2,2,0.8973498533687847
3,0,0.9110879745811575
3,1,0.902198846031002
3,2,0.911681136215629
4,0,0.9173223937182938
4,1,0.9262571500864855
4,2,0.9201637623869156
5,0,0.928443137368768
5,1,0.9194544572156246
5,2,0.9221133146121014
6,0,0.9244361853484928
6,1,0.9122825938170158
6,2,0.9110589386969525
7,0,0.9280905587748516
7,1,0.9285758728394191
7,2,0.926269594036859
8,0,0.929969595281254
8,1,0.9326699325123092
8,2,0.9281112986921408
9,0,0.9282730700469967
9,1,0.9361957184514749
9,2,0.9307452681878705
10,0,0.9364445974589454
10,1,0.9282689220635388
10,2,0.9403063700581963
11,0,0.9319232954898976
11,1,0.9372824901174295
11,2,0.9302143263052668
12,0,0.9363865256905355
12,1,0.9397463922913876
12,2,0.9387840601291682
13,0,0.9395846209365316
13,1,0.9403519978762326
13,2,0.9339433634338665
14,0,0.9369216155565971
14,1,0.9374442614722851
14,2,0.9360422430635347
15,0,0.9364487454424031
15,1,0.9400077152492314
15,2,0.9392403383095308
16,0,0.9390536790539281
16,1,0.9387757641622526
16,2,0.9413558098730302
17,0,0.9410571550640656
17,1,0.9412977381046206
17,2,0.9397671322086768
18,0,0.9416959445165735
18,1,0.9395141052177485
18,2,0.9405469530987509
19,0,0.9407626482385587
19,1,0.9407626482385587
19,2,0.9407626482385587
