event_file,fraction_of_yes,pred,ChannelLocation
Bonobo00054_1_127764,1.0,0.7866349,frontal
Bonobo00054_1_84546,1.0,0.23825754,frontal
Bonobo00055_1_59760,0.875,0.45317587,frontal
Bonobo00200_0_128917,0.875,0.09842575,frontal
Bonobo00346_1_191211,0.875,0.31891876,frontal
Bonobo00365_1_84454,1.0,0.46051458,frontal
Bonobo00365_2_125435,0.875,0.72095734,frontal
Bonobo00413_1_190857,0.875,0.78237116,frontal
Bonobo00456_0_2689,0.9166666666666666,0.7217936,frontal
Bonobo00456_0_2839,0.9444444444444444,0.46975517,frontal
Bonobo00605_1_71243,1.0,0.67574656,frontal
Bonobo00653_0_18046,0.875,0.55577755,frontal
Bonobo00663_0_1426,0.9166666666666666,0.585888,frontal
Bonobo00663_0_1800,0.9444444444444444,0.54299957,frontal
Bonobo00663_0_2690,0.9444444444444444,0.65039575,frontal
Bonobo00663_0_3378,0.8888888888888888,0.68620056,frontal
Bonobo00663_0_434,0.9444444444444444,0.478798,frontal
Bonobo00696_0_3144,0.8888888888888888,0.7853393,frontal
Bonobo00799_1_133580,0.875,0.7752914,frontal
Bonobo00799_1_156185,0.875,0.8397413,frontal
Bonobo00799_1_162273,0.875,0.4906832,frontal
Bonobo00799_1_23254,0.875,0.64607906,frontal
Bonobo00799_1_43772,0.875,0.80461246,frontal
Bonobo00809_0_1073,0.9166666666666666,0.82047904,frontal
Bonobo00809_0_2432,1.0,0.81370795,frontal
Bonobo01128_1_144856,1.0,0.86139107,frontal
Bonobo01128_1_31399,0.875,0.67385596,frontal
Bonobo01205_1_238242,0.875,0.76966816,frontal
Bonobo01213_0_2555,1.0,0.6869488,frontal
Bonobo01213_0_3540,0.9333333333333332,0.5759041,frontal
Bonobo01268_1_145144,0.875,0.34079883,frontal
Bonobo01268_1_3734,0.875,0.4412377,frontal
Bonobo01268_1_43578,0.875,0.6402956,frontal
Bonobo01268_1_67181,0.875,0.42956474,frontal
Bonobo01268_2_123595,0.875,0.089114085,frontal
Bonobo01268_2_123595,0.875,0.089114085,frontal
Bonobo01308_0_1587,0.8888888888888888,0.7174277,frontal
Bonobo01343_0_1524,1.0,0.5281868,frontal
Bonobo01343_0_1627,0.9333333333333332,0.6380406,frontal
Bonobo01343_0_3519,1.0,0.53658754,frontal
Bonobo01343_0_3530,1.0,0.6115215,frontal
Bonobo01351_1_113446,0.75,0.08092607,frontal
Bonobo01351_1_116709,0.75,0.16366859,frontal
