n_keeper,run,AUROC
0,0,0.5
0,1,0.5
0,2,0.5
1,0,0.8358394066724463
1,1,0.8350409198568115
1,2,0.8440233780347683
2,0,0.8712382975016696
2,1,0.8742455855086051
2,2,0.8775598242914208
3,0,0.8765850481788279
3,1,0.8864406568746603
3,2,0.9054342731281189
4,0,0.9144851730331298
4,1,0.8975572525416768
4,2,0.9128342756169089
5,0,0.9038455954637653
5,1,0.9299612993143385
5,2,0.9082631978463671
6,0,0.9270452669434756
6,1,0.9186580443917188
6,2,0.9253031138911816
7,0,0.9371829385144411
7,1,0.9333294618821061
7,2,0.9370004272422962
8,0,0.9464370896088866
8,1,0.9279453793538273
8,2,0.9441722906409049
9,0,0.9436745326259639
9,1,0.9499877634487994
9,2,0.9351794625043035
10,0,0.9513690419402607
10,1,0.9446576047054724
10,2,0.9510496472140069
11,0,0.9427951601329013
11,1,0.9481543547604332
11,2,0.9525470692422879
12,0,0.9535135493879652
12,1,0.9538122041969297
12,2,0.9507883242561629
13,0,0.9559152318100556
13,1,0.9538661279818816
13,2,0.9617970723532754
14,0,0.9567904563196603
14,1,0.9621786868313968
14,2,0.9622657944840116
15,0,0.9619546957246734
15,1,0.9607393365715258
15,2,0.9592087306755822
16,0,0.9636429249920151
16,1,0.9637341806280876
16,2,0.9647670285090902
17,0,0.9648085083436687
17,1,0.9647048087572226
17,2,0.9643978579813424
18,0,0.9655344054487911
18,1,0.9655344054487911
18,2,0.9655344054487911
