Group name,Patients,Recordings,Female,Samples,Spikes,Routine,LTM,EMU,Other unit,dataset
Total,2601,2859,1154 (50),32433,12428 (38),1370 (48),969 (34),212 (7),308 (11),center
0  to < 5,135,167,62 (46),1605,1058 (66),91 (54),63 (38),13 (8),0 (0),center
5  to < 13,283,365,126 (45),4261,2988 (70),275 (75),58 (16),32 (9),0 (0),center
13  to < 18,156,199,71 (46),1827,1262 (69),145 (73),33 (17),21 (11),0 (0),center
18  to < 30,306,344,156 (51),7087,1248 (18),193 (56),74 (22),75 (22),2 (1),center
30  to < 50,317,335,158 (50),2856,869 (30),172 (51),122 (36),41 (12),0 (0),center
50  to < 65,410,425,218 (53),2280,805 (35),185 (44),215 (51),24 (6),1 (0),center
65  to < 75,340,351,172 (51),2105,861 (41),152 (43),192 (55),5 (1),2 (1),center
75  to < inf,358,370,191 (53),2136,780 (37),157 (42),212 (56),1 (0),0 (0),center
Unknown,296,303,0 (0),8276,2557 (31),0 (0),0 (0),0 (0),303 (100),center
Total,625,749,316 (52),63350,50539 (80),521 (70),158 (21),48 (6),22 (3),member
0  to < 5,55,73,23 (42),7424,5996 (81),57 (78),14 (19),2 (3),0 (0),member
5  to < 13,156,198,79 (51),20865,18106 (87),168 (85),18 (9),12 (6),0 (0),member
13  to < 18,75,101,35 (47),8588,7124 (83),83 (82),9 (9),9 (9),0 (0),member
18  to < 30,84,100,47 (56),6416,5212 (81),68 (68),15 (15),16 (16),1 (1),member
30  to < 50,58,66,31 (53),3957,2960 (75),48 (73),10 (15),8 (12),0 (0),member
50  to < 65,59,65,28 (47),4663,3384 (73),36 (55),28 (43),1 (2),0 (0),member
65  to < 75,52,53,34 (65),4809,3191 (66),27 (51),26 (49),0 (0),0 (0),member
75  to < inf,70,72,39 (56),4814,3009 (63),34 (47),38 (53),0 (0),0 (0),member
Unknown,16,21,0 (0),1814,1557 (86),0 (0),0 (0),0 (0),21 (100),member
Total,1508,1513,636 (44),30000,0 (0),1114 (74),283 (19),37 (2),79 (5),control
0  to < 5,70,70,33 (47),1387,0 (0),62 (89),8 (11),0 (0),0 (0),control
5  to < 13,69,69,26 (38),1375,0 (0),62 (90),4 (6),3 (4),0 (0),control
13  to < 18,49,49,19 (39),971,0 (0),43 (88),4 (8),1 (2),1 (2),control
18  to < 30,189,189,76 (40),3745,0 (0),154 (81),26 (14),8 (4),1 (1),control
30  to < 50,267,267,124 (46),5278,0 (0),197 (74),59 (22),11 (4),0 (0),control
50  to < 65,327,329,142 (43),6517,0 (0),238 (72),80 (24),11 (3),0 (0),control
65  to < 75,218,220,90 (41),4350,0 (0),165 (75),52 (24),2 (1),1 (0),control
75  to < inf,245,246,126 (51),4891,0 (0),193 (78),50 (20),1 (0),2 (1),control
Unknown,74,74,0 (0),1486,0 (0),0 (0),0 (0),0 (0),74 (100),control
clemson,51,51,0 (0),3300,1650 (50),0 (0),0 (0),0 (0),51 (100),external
