event_file,location
BEA0003_68,frontal
BEA0003_13,frontal
MAYO0018_128,frontal
MAYO0018_146,frontal
MAYO0018_151,frontal
MAYO0018_144,frontal
MAYO0018_135,frontal
MAYO0018_147,frontal
MAYO0018_16,frontal
MAYO0018_156,frontal
MAYO0018_11,frontal
MAYO0018_49,frontal
MAYO0018_18,frontal
MAYO0018_126,frontal
MAYO0018_82,frontal
MAYO0018_163,frontal
MAYO0018_46,frontal
MAYO0018_153,frontal
MAYO0018_28,frontal
MAYO0018_36,frontal
MAYO0018_21,frontal
MAYO0018_91,frontal
MAYO0018_60,frontal
MAYO0018_48,frontal
MAYO0018_38,frontal
MAYO0018_33,frontal
MAYO0018_143,frontal
MAYO0018_55,frontal
MAYO0018_79,frontal
MAYO0018_130,frontal
MAYO0018_114,frontal
MAYO0018_0,frontal
MAYO0018_45,frontal
MAYO0018_166,frontal
MAYO0018_41,frontal
MAYO0018_149,frontal
MAYO0018_148,frontal
MAYO0018_109,frontal
MAYO0018_34,frontal
MAYO0018_15,frontal
MAYO0018_102,frontal
MAYO0018_110,frontal
MAYO0018_127,frontal
MAYO0018_8,frontal
MAYO0018_59,frontal
MAYO0018_162,frontal
MAYO0018_73,frontal
MAYO0018_3,frontal
MAYO0018_7,frontal
MAYO0018_61,frontal
MAYO0018_35,frontal
MAYO0018_10,frontal
MAYO0018_64,frontal
MAYO0018_65,frontal
MAYO0018_142,frontal
MAYO0018_20,frontal
MAYO0018_118,frontal
MAYO0018_122,frontal
MAYO0018_54,frontal
MAYO0018_30,frontal
MAYO0018_67,frontal
MAYO0018_40,frontal
MAYO0018_6,frontal
MAYO0018_50,frontal
MAYO0018_26,frontal
MEG0009_14,frontal
MEG0009_82,frontal
MEG0009_9,frontal
MEG0010_4,frontal
MEG0010_1,frontal
MEG0021_12,frontal
MEG0024_157,frontal
MEG0024_114,frontal
MEG0024_31,frontal
MEG0024_130,frontal
MEG0024_173,frontal
MEG0024_84,frontal
MEG0024_20,frontal
MEG0024_104,frontal
MEG0024_183,frontal
MEG0024_117,frontal
MEG0024_85,frontal
MEG0024_175,frontal
MEG0024_144,frontal
MEG0024_51,frontal
MEG0024_102,frontal
MEG0024_99,frontal
MEG0024_38,frontal
MEG0024_57,frontal
MEG0024_50,frontal
MEG0024_162,frontal
MEG0024_13,frontal
MEG0024_54,frontal
MEG0024_138,frontal
MEG0024_41,frontal
MEG0024_98,frontal
MEG0024_169,frontal
MEG0024_147,frontal
MEG0024_205,frontal
MEG0024_48,frontal
MEG0024_143,frontal
MEG0024_107,frontal
MEG0025_14,frontal
NYU0014_10,frontal
NYU0014_49,frontal
NYU0014_33,frontal
NYU0014_35,frontal
NYU0014_42,frontal
NYU0014_64,frontal
NYU0014_20,frontal
NYU0014_15,frontal
NYU0014_14,frontal
NYU0041_0,frontal
NYU0041_25,frontal
UAB0001_22,frontal
UAB0001_10,frontal
UAB0005_26,frontal
UAB0005_119,frontal
UAB0005_71,frontal
UAB0005_572,frontal
UAB0005_77,frontal
UAB0005_557,frontal
UAB0005_576,frontal
UAB0005_182,frontal
UAB0005_446,frontal
UAB0005_67,frontal
UAB0005_305,frontal
UAB0005_282,frontal
UAB0005_460,frontal
UAB0005_341,frontal
UAB0005_536,frontal
UAB0005_106,frontal
UAB0005_556,frontal
UMICH0005_13,frontal
UWO0010_5,frontal
VAN0007_0,frontal
WASH0003_13,frontal
WASH0003_20,frontal
WASH0003_16,frontal
YALE0019_146,frontal
YALE0019_123,frontal
YALE0019_42,frontal
YALE0019_34,frontal
YALE0019_209,frontal
YALE0019_15,frontal
YALE0019_157,frontal
UCSF0021_47,parietal
UCSF0021_15,parietal
UCSF0021_2,parietal
UCSF0021_21,parietal
UCSF0021_25,parietal
UCSF0021_7,parietal
UCSF0021_0,parietal
UCSF0021_31,parietal
UCSF0021_44,parietal
UCSF0021_38,parietal
UCSF0021_28,parietal
UCSF0021_41,parietal
UCSF0021_46,parietal
UCSF0021_18,parietal
UCSF0021_17,parietal
UCSF0021_39,parietal
UCSF0021_19,parietal
MESC0013_6,occipital
ALB0004_1,temporal
BEA0003_35,temporal
BEA0003_18,temporal
BEA0003_41,temporal
BEA0003_1,temporal
BEA0003_57,temporal
BEA0003_20,temporal
BEA0003_63,temporal
BEA0003_7,temporal
BEA0003_44,temporal
BEA0003_14,temporal
BEA0003_53,temporal
BEA0003_40,temporal
BEA0003_36,temporal
BEA0003_17,temporal
BEA0003_46,temporal
BEA0003_29,temporal
COL0009_5,temporal
COL0009_0,temporal
COL0009_1,temporal
MAYO0009_0,temporal
MAYO0010_1,temporal
MAYO0010_0,temporal
MAYO0010_9,temporal
MAYO0010_2,temporal
MAYO0010_5,temporal
MAYO0019_1,temporal
MAYO0019_4,temporal
MAYO0019_5,temporal
MEG0010_14,temporal
MEG0010_31,temporal
MEG0010_6,temporal
MEG0010_12,temporal
MEG0010_13,temporal
MEG0010_19,temporal
MEG0010_20,temporal
MEG0010_23,temporal
MEG0010_28,temporal
MEG0010_21,temporal
MEG0010_11,temporal
MEG0021_3,temporal
MEG0021_9,temporal
MEG0021_8,temporal
MEG0021_10,temporal
MEG0024_79,temporal
MEG0024_165,temporal
MEG0024_146,temporal
MEG0024_62,temporal
MEG0024_40,temporal
MEG0024_90,temporal
MEG0024_154,temporal
MEG0024_121,temporal
MEG0024_199,temporal
MEG0024_8,temporal
MEG0024_188,temporal
MEG0024_81,temporal
MEG0024_185,temporal
MEG0024_58,temporal
MEG0024_25,temporal
MEG0024_227,temporal
MEG0024_7,temporal
MEG0024_18,temporal
MEG0024_141,temporal
MEG0024_167,temporal
MEG0024_153,temporal
MEG0024_228,temporal
MEG0024_12,temporal
MEG0024_206,temporal
MEG0024_92,temporal
MEG0024_196,temporal
MEG0024_129,temporal
MEG0024_213,temporal
MEG0024_124,temporal
MEG0024_73,temporal
MEG0024_182,temporal
MEG0024_21,temporal
MEG0024_201,temporal
MEG0024_4,temporal
MEG0024_137,temporal
MEG0024_119,temporal
MEG0024_151,temporal
MEG0024_76,temporal
MEG0024_60,temporal
MEG0024_96,temporal
MEG0024_198,temporal
MEG0024_194,temporal
MEG0024_101,temporal
MEG0024_222,temporal
MEG0024_61,temporal
MEG0024_74,temporal
MEG0024_63,temporal
MEG0024_33,temporal
MEG0024_212,temporal
MEG0024_180,temporal
MEG0024_125,temporal
MEG0024_110,temporal
MEG0024_75,temporal
MEG0024_190,temporal
MEG0024_118,temporal
MEG0024_133,temporal
MEG0024_32,temporal
MEG0024_71,temporal
MEG0024_77,temporal
MEG0024_126,temporal
MEG0024_89,temporal
MEG0024_186,temporal
MEG0024_122,temporal
MEG0024_6,temporal
MEG0024_46,temporal
MEG0024_223,temporal
MEG0024_160,temporal
MEG0024_204,temporal
MEG0024_94,temporal
MEG0024_179,temporal
MEG0024_23,temporal
MEG0024_70,temporal
MEG0024_49,temporal
MEG0024_66,temporal
MEG0024_200,temporal
MEG0024_78,temporal
MEG0024_215,temporal
MEG0024_174,temporal
MEG0024_193,temporal
MEG0024_211,temporal
MEG0024_93,temporal
MEG0025_2,temporal
MEG0025_5,temporal
MEG0025_3,temporal
MEG0025_9,temporal
